complaints,category
"Please fix the overflowing bin the whole neighborhood is complaining. Specifically, the overflowing bin near the main square is getting worse. Fire attention is needed.",Sanitation
"Urgent notice regarding leak and it has been like this for days. Specifically, the leak near the main square is getting worse. Immediate attention is needed.",Water
"Continuous issue with street light out which is causing a lot of trouble. Specifically, the street light out near the main square is getting worse. Hazard attention is needed.",Roads
"There is a bad smell and it has been like this for days. Specifically, the bad smell near the main square is getting worse. Life-threatening attention is needed.",Sanitation
"There is a overflowing bin which is causing a lot of trouble. Specifically, the overflowing bin near the main square is getting worse. Fire attention is needed.",Sanitation
Urgent notice regarding overflowing bin,Sanitation
"Continuous issue with stagnant water this is a major safety risk. Specifically, the stagnant water near the main square is getting worse. Life-threatening attention is needed.",Health
"Please fix the pipe burst this is a major safety risk. Specifically, the pipe burst near the main square is getting worse. Immediate attention is needed.",Water
"Urgent notice regarding contaminated and it has been like this for days. Specifically, the contaminated near the main square is getting worse. Fire attention is needed.",Water
"I want to report stray dog menace and it has been like this for days. Specifically, the stray dog menace near the main square is getting worse. Life-threatening attention is needed.",Health
"Urgent notice regarding power cut which is causing a lot of trouble. Specifically, the power cut near the main square is getting worse. Urgent attention is needed.",Electricity
"There is a pothole and it has been like this for days. Specifically, the pothole near the main square is getting worse. Fire attention is needed.",Roads
"Urgent notice regarding outbreak risk this is a major safety risk. Specifically, the outbreak risk near the main square is getting worse. Leak attention is needed.",Health
"There is a outbreak risk which is causing a lot of trouble. Specifically, the outbreak risk near the main square is getting worse. Immediate attention is needed.",Health
I want to report sewage leak,Sanitation
"Please fix the garbage pile which is causing a lot of trouble. Specifically, the garbage pile near the main square is getting worse. Leak attention is needed.",Sanitation
"Urgent notice regarding pothole this is a major safety risk. Specifically, the pothole near the main square is getting worse. Immediate attention is needed.",Roads
"Continuous issue with pothole which is causing a lot of trouble. Specifically, the pothole near the main square is getting worse. Life-threatening attention is needed.",Roads
"Continuous issue with sewage leak and it has been like this for days. Specifically, the sewage leak near the main square is getting worse. Leak attention is needed.",Sanitation
"I want to report garbage pile the whole neighborhood is complaining. Specifically, the garbage pile near the main square is getting worse. Leak attention is needed.",Sanitation
"Urgent notice regarding downed line this is a major safety risk. Specifically, the downed line near the main square is getting worse. Danger attention is needed.",Electricity
"Continuous issue with downed line this is a major safety risk. Specifically, the downed line near the main square is getting worse. Immediate attention is needed.",Electricity
"Urgent notice regarding leak the whole neighborhood is complaining. Specifically, the leak near the main square is getting worse. Immediate attention is needed.",Water
"I want to report leak and it has been like this for days. Specifically, the leak near the main square is getting worse. Leak attention is needed.",Water
"There is a power cut the whole neighborhood is complaining. Specifically, the power cut near the main square is getting worse. Fire attention is needed.",Electricity
Continuous issue with power cut,Electricity
"There is a leak the whole neighborhood is complaining. Specifically, the leak near the main square is getting worse. Life-threatening attention is needed.",Water
"I want to report overflowing bin which is causing a lot of trouble. Specifically, the overflowing bin near the main square is getting worse. Leak attention is needed.",Sanitation
"There is a dirty water and it has been like this for days. Specifically, the dirty water near the main square is getting worse. Danger attention is needed.",Water
"Continuous issue with low pressure which is causing a lot of trouble. Specifically, the low pressure near the main square is getting worse. Danger attention is needed.",Water
"There is a cracked pavement the whole neighborhood is complaining. Specifically, the cracked pavement near the main square is getting worse. Immediate attention is needed.",Roads
"Continuous issue with garbage pile and it has been like this for days. Specifically, the garbage pile near the main square is getting worse. Life-threatening attention is needed.",Sanitation
"Continuous issue with street light out this is a major safety risk. Specifically, the street light out near the main square is getting worse. Fire attention is needed.",Roads
Please fix the traffic signal broken,Roads
"Urgent notice regarding low pressure and it has been like this for days. Specifically, the low pressure near the main square is getting worse. Life-threatening attention is needed.",Water
"I want to report dim lights the whole neighborhood is complaining. Specifically, the dim lights near the main square is getting worse. Emergency attention is needed.",Electricity
"Urgent notice regarding outbreak risk which is causing a lot of trouble. Specifically, the outbreak risk near the main square is getting worse. Life-threatening attention is needed.",Health
"Please fix the dim lights this is a major safety risk. Specifically, the dim lights near the main square is getting worse. Danger attention is needed.",Electricity
"Continuous issue with pipe burst this is a major safety risk. Specifically, the pipe burst near the main square is getting worse. Emergency attention is needed.",Water
"There is a traffic signal broken which is causing a lot of trouble. Specifically, the traffic signal broken near the main square is getting worse. Danger attention is needed.",Roads
"I want to report downed line this is a major safety risk. Specifically, the downed line near the main square is getting worse. Danger attention is needed.",Electricity
Urgent notice regarding pipe burst,Water
"Continuous issue with street light out and it has been like this for days. Specifically, the street light out near the main square is getting worse. Immediate attention is needed.",Roads
"Continuous issue with power cut the whole neighborhood is complaining. Specifically, the power cut near the main square is getting worse. Fire attention is needed.",Electricity
"Urgent notice regarding outbreak risk and it has been like this for days. Specifically, the outbreak risk near the main square is getting worse. Fire attention is needed.",Health
Continuous issue with pothole,Roads
"Continuous issue with traffic signal broken which is causing a lot of trouble. Specifically, the traffic signal broken near the main square is getting worse. Danger attention is needed.",Roads
"I want to report cracked pavement and it has been like this for days. Specifically, the cracked pavement near the main square is getting worse. Immediate attention is needed.",Roads
"Urgent notice regarding dim lights the whole neighborhood is complaining. Specifically, the dim lights near the main square is getting worse. Immediate attention is needed.",Electricity
"There is a garbage pile which is causing a lot of trouble. Specifically, the garbage pile near the main square is getting worse. Urgent attention is needed.",Sanitation
"Urgent notice regarding no supply the whole neighborhood is complaining. Specifically, the no supply near the main square is getting worse. Urgent attention is needed.",Water
"I want to report clinic closed this is a major safety risk. Specifically, the clinic closed near the main square is getting worse. Immediate attention is needed.",Health
"Please fix the contaminated and it has been like this for days. Specifically, the contaminated near the main square is getting worse. Immediate attention is needed.",Water
"Urgent notice regarding garbage pile which is causing a lot of trouble. Specifically, the garbage pile near the main square is getting worse. Emergency attention is needed.",Sanitation
"I want to report outbreak risk and it has been like this for days. Specifically, the outbreak risk near the main square is getting worse. Life-threatening attention is needed.",Health
"I want to report low pressure the whole neighborhood is complaining. Specifically, the low pressure near the main square is getting worse. Urgent attention is needed.",Water
"I want to report pothole the whole neighborhood is complaining. Specifically, the pothole near the main square is getting worse. Leak attention is needed.",Roads
"There is a sewage leak and it has been like this for days. Specifically, the sewage leak near the main square is getting worse. Life-threatening attention is needed.",Sanitation
"I want to report pipe burst which is causing a lot of trouble. Specifically, the pipe burst near the main square is getting worse. Danger attention is needed.",Water
"Please fix the dim lights which is causing a lot of trouble. Specifically, the dim lights near the main square is getting worse. Danger attention is needed.",Electricity
"I want to report sparking wire this is a major safety risk. Specifically, the sparking wire near the main square is getting worse. Urgent attention is needed.",Electricity
Urgent notice regarding leak,Water
"Urgent notice regarding flooded road which is causing a lot of trouble. Specifically, the flooded road near the main square is getting worse. Fire attention is needed.",Roads
"Continuous issue with leak the whole neighborhood is complaining. Specifically, the leak near the main square is getting worse. Urgent attention is needed.",Water
"Please fix the pipe burst which is causing a lot of trouble. Specifically, the pipe burst near the main square is getting worse. Hazard attention is needed.",Water
"Continuous issue with power cut and it has been like this for days. Specifically, the power cut near the main square is getting worse. Danger attention is needed.",Electricity
"Urgent notice regarding outbreak risk this is a major safety risk. Specifically, the outbreak risk near the main square is getting worse. Immediate attention is needed.",Health
"Please fix the pothole and it has been like this for days. Specifically, the pothole near the main square is getting worse. Life-threatening attention is needed.",Roads
I want to report dirty water,Water
"There is a power cut which is causing a lot of trouble. Specifically, the power cut near the main square is getting worse. Immediate attention is needed.",Electricity
"Continuous issue with clinic closed the whole neighborhood is complaining. Specifically, the clinic closed near the main square is getting worse. Danger attention is needed.",Health
"Please fix the uncollected waste the whole neighborhood is complaining. Specifically, the uncollected waste near the main square is getting worse. Emergency attention is needed.",Sanitation
"There is a dim lights which is causing a lot of trouble. Specifically, the dim lights near the main square is getting worse. Immediate attention is needed.",Electricity
I want to report stagnant water,Health
"Please fix the garbage pile and it has been like this for days. Specifically, the garbage pile near the main square is getting worse. Hazard attention is needed.",Sanitation
"Please fix the sewage leak and it has been like this for days. Specifically, the sewage leak near the main square is getting worse. Danger attention is needed.",Sanitation
"Please fix the uncollected waste the whole neighborhood is complaining. Specifically, the uncollected waste near the main square is getting worse. Hazard attention is needed.",Sanitation
"There is a downed line this is a major safety risk. Specifically, the downed line near the main square is getting worse. Leak attention is needed.",Electricity
"Please fix the clinic closed this is a major safety risk. Specifically, the clinic closed near the main square is getting worse. Leak attention is needed.",Health
Urgent notice regarding low pressure,Water
"Continuous issue with sewage leak which is causing a lot of trouble. Specifically, the sewage leak near the main square is getting worse. Immediate attention is needed.",Sanitation
Continuous issue with street light out,Roads
"There is a overflowing bin the whole neighborhood is complaining. Specifically, the overflowing bin near the main square is getting worse. Life-threatening attention is needed.",Sanitation
"I want to report outbreak risk the whole neighborhood is complaining. Specifically, the outbreak risk near the main square is getting worse. Immediate attention is needed.",Health
I want to report power cut,Electricity
"Continuous issue with clinic closed which is causing a lot of trouble. Specifically, the clinic closed near the main square is getting worse. Urgent attention is needed.",Health
"Please fix the pipe burst which is causing a lot of trouble. Specifically, the pipe burst near the main square is getting worse. Leak attention is needed.",Water
"There is a sparking wire the whole neighborhood is complaining. Specifically, the sparking wire near the main square is getting worse. Life-threatening attention is needed.",Electricity
"Continuous issue with sparking wire this is a major safety risk. Specifically, the sparking wire near the main square is getting worse. Emergency attention is needed.",Electricity
"I want to report downed line and it has been like this for days. Specifically, the downed line near the main square is getting worse. Urgent attention is needed.",Electricity
"Continuous issue with dim lights and it has been like this for days. Specifically, the dim lights near the main square is getting worse. Urgent attention is needed.",Electricity
"There is a traffic signal broken the whole neighborhood is complaining. Specifically, the traffic signal broken near the main square is getting worse. Immediate attention is needed.",Roads
"I want to report bad smell this is a major safety risk. Specifically, the bad smell near the main square is getting worse. Leak attention is needed.",Sanitation
"I want to report contaminated and it has been like this for days. Specifically, the contaminated near the main square is getting worse. Leak attention is needed.",Water
"Continuous issue with clinic closed the whole neighborhood is complaining. Specifically, the clinic closed near the main square is getting worse. Fire attention is needed.",Health
"There is a uncollected waste this is a major safety risk. Specifically, the uncollected waste near the main square is getting worse. Life-threatening attention is needed.",Sanitation
"Please fix the overflowing bin which is causing a lot of trouble. Specifically, the overflowing bin near the main square is getting worse. Danger attention is needed.",Sanitation
"Continuous issue with transformer failure this is a major safety risk. Specifically, the transformer failure near the main square is getting worse. Danger attention is needed.",Electricity
"I want to report outbreak risk which is causing a lot of trouble. Specifically, the outbreak risk near the main square is getting worse. Life-threatening attention is needed.",Health
"I want to report overflowing bin the whole neighborhood is complaining. Specifically, the overflowing bin near the main square is getting worse. Life-threatening attention is needed.",Sanitation
"I want to report downed line which is causing a lot of trouble. Specifically, the downed line near the main square is getting worse. Emergency attention is needed.",Electricity
Please fix the sparking wire,Electricity
"Urgent notice regarding no supply which is causing a lot of trouble. Specifically, the no supply near the main square is getting worse. Immediate attention is needed.",Water
"Urgent notice regarding dirty water which is causing a lot of trouble. Specifically, the dirty water near the main square is getting worse. Life-threatening attention is needed.",Water
"Please fix the stray dog menace and it has been like this for days. Specifically, the stray dog menace near the main square is getting worse. Danger attention is needed.",Health
"Please fix the cracked pavement which is causing a lot of trouble. Specifically, the cracked pavement near the main square is getting worse. Urgent attention is needed.",Roads
I want to report mosquito breeding,Health
"Urgent notice regarding traffic signal broken the whole neighborhood is complaining. Specifically, the traffic signal broken near the main square is getting worse. Hazard attention is needed.",Roads
"Please fix the pipe burst and it has been like this for days. Specifically, the pipe burst near the main square is getting worse. Urgent attention is needed.",Water
"Continuous issue with uncollected waste and it has been like this for days. Specifically, the uncollected waste near the main square is getting worse. Fire attention is needed.",Sanitation
"There is a street light out the whole neighborhood is complaining. Specifically, the street light out near the main square is getting worse. Life-threatening attention is needed.",Roads
"There is a transformer failure which is causing a lot of trouble. Specifically, the transformer failure near the main square is getting worse. Leak attention is needed.",Electricity
"Continuous issue with downed line this is a major safety risk. Specifically, the downed line near the main square is getting worse. Urgent attention is needed.",Electricity
"I want to report overflowing bin the whole neighborhood is complaining. Specifically, the overflowing bin near the main square is getting worse. Emergency attention is needed.",Sanitation
"Continuous issue with power cut this is a major safety risk. Specifically, the power cut near the main square is getting worse. Emergency attention is needed.",Electricity
"Please fix the dirty water and it has been like this for days. Specifically, the dirty water near the main square is getting worse. Emergency attention is needed.",Water
"There is a traffic signal broken this is a major safety risk. Specifically, the traffic signal broken near the main square is getting worse. Immediate attention is needed.",Roads
"Continuous issue with dirty water this is a major safety risk. Specifically, the dirty water near the main square is getting worse. Danger attention is needed.",Water
"Continuous issue with power cut which is causing a lot of trouble. Specifically, the power cut near the main square is getting worse. Hazard attention is needed.",Electricity
"Please fix the traffic signal broken and it has been like this for days. Specifically, the traffic signal broken near the main square is getting worse. Emergency attention is needed.",Roads
"I want to report dirty water the whole neighborhood is complaining. Specifically, the dirty water near the main square is getting worse. Danger attention is needed.",Water
"I want to report downed line and it has been like this for days. Specifically, the downed line near the main square is getting worse. Hazard attention is needed.",Electricity
"There is a sparking wire and it has been like this for days. Specifically, the sparking wire near the main square is getting worse. Urgent attention is needed.",Electricity
"Please fix the dim lights and it has been like this for days. Specifically, the dim lights near the main square is getting worse. Danger attention is needed.",Electricity
"Continuous issue with leak the whole neighborhood is complaining. Specifically, the leak near the main square is getting worse. Leak attention is needed.",Water
"Continuous issue with dirty water which is causing a lot of trouble. Specifically, the dirty water near the main square is getting worse. Life-threatening attention is needed.",Water
"Continuous issue with outbreak risk this is a major safety risk. Specifically, the outbreak risk near the main square is getting worse. Hazard attention is needed.",Health
"Please fix the sewage leak and it has been like this for days. Specifically, the sewage leak near the main square is getting worse. Emergency attention is needed.",Sanitation
"Urgent notice regarding dim lights and it has been like this for days. Specifically, the dim lights near the main square is getting worse. Leak attention is needed.",Electricity
"Continuous issue with no supply this is a major safety risk. Specifically, the no supply near the main square is getting worse. Fire attention is needed.",Water
"Urgent notice regarding stray dog menace the whole neighborhood is complaining. Specifically, the stray dog menace near the main square is getting worse. Hazard attention is needed.",Health
"There is a uncollected waste and it has been like this for days. Specifically, the uncollected waste near the main square is getting worse. Danger attention is needed.",Sanitation
Please fix the mosquito breeding,Health
Continuous issue with stagnant water,Health
"Continuous issue with clinic closed which is causing a lot of trouble. Specifically, the clinic closed near the main square is getting worse. Fire attention is needed.",Health
"Please fix the sparking wire the whole neighborhood is complaining. Specifically, the sparking wire near the main square is getting worse. Danger attention is needed.",Electricity
"I want to report dim lights and it has been like this for days. Specifically, the dim lights near the main square is getting worse. Life-threatening attention is needed.",Electricity
Continuous issue with sewage leak,Sanitation
"There is a low pressure and it has been like this for days. Specifically, the low pressure near the main square is getting worse. Immediate attention is needed.",Water
"I want to report transformer failure this is a major safety risk. Specifically, the transformer failure near the main square is getting worse. Fire attention is needed.",Electricity
"I want to report garbage pile which is causing a lot of trouble. Specifically, the garbage pile near the main square is getting worse. Leak attention is needed.",Sanitation
"Urgent notice regarding traffic signal broken and it has been like this for days. Specifically, the traffic signal broken near the main square is getting worse. Immediate attention is needed.",Roads
"Urgent notice regarding sewage leak the whole neighborhood is complaining. Specifically, the sewage leak near the main square is getting worse. Leak attention is needed.",Sanitation
"There is a outbreak risk which is causing a lot of trouble. Specifically, the outbreak risk near the main square is getting worse. Leak attention is needed.",Health
"Urgent notice regarding transformer failure and it has been like this for days. Specifically, the transformer failure near the main square is getting worse. Immediate attention is needed.",Electricity
"Urgent notice regarding garbage pile the whole neighborhood is complaining. Specifically, the garbage pile near the main square is getting worse. Hazard attention is needed.",Sanitation
"Urgent notice regarding downed line and it has been like this for days. Specifically, the downed line near the main square is getting worse. Leak attention is needed.",Electricity
"Continuous issue with stray dog menace this is a major safety risk. Specifically, the stray dog menace near the main square is getting worse. Leak attention is needed.",Health
"Continuous issue with leak and it has been like this for days. Specifically, the leak near the main square is getting worse. Fire attention is needed.",Water
"I want to report mosquito breeding which is causing a lot of trouble. Specifically, the mosquito breeding near the main square is getting worse. Urgent attention is needed.",Health
"There is a contaminated this is a major safety risk. Specifically, the contaminated near the main square is getting worse. Fire attention is needed.",Water
"Please fix the low pressure and it has been like this for days. Specifically, the low pressure near the main square is getting worse. Urgent attention is needed.",Water
"Urgent notice regarding bad smell which is causing a lot of trouble. Specifically, the bad smell near the main square is getting worse. Danger attention is needed.",Sanitation
"Urgent notice regarding traffic signal broken and it has been like this for days. Specifically, the traffic signal broken near the main square is getting worse. Life-threatening attention is needed.",Roads
I want to report low pressure,Water
"There is a traffic signal broken the whole neighborhood is complaining. Specifically, the traffic signal broken near the main square is getting worse. Urgent attention is needed.",Roads
"Continuous issue with contaminated this is a major safety risk. Specifically, the contaminated near the main square is getting worse. Immediate attention is needed.",Water
"Urgent notice regarding dirty water this is a major safety risk. Specifically, the dirty water near the main square is getting worse. Immediate attention is needed.",Water
"Please fix the dim lights and it has been like this for days. Specifically, the dim lights near the main square is getting worse. Leak attention is needed.",Electricity
"There is a pothole the whole neighborhood is complaining. Specifically, the pothole near the main square is getting worse. Emergency attention is needed.",Roads
"I want to report clinic closed and it has been like this for days. Specifically, the clinic closed near the main square is getting worse. Emergency attention is needed.",Health
"Please fix the overflowing bin and it has been like this for days. Specifically, the overflowing bin near the main square is getting worse. Danger attention is needed.",Sanitation
"There is a dim lights the whole neighborhood is complaining. Specifically, the dim lights near the main square is getting worse. Immediate attention is needed.",Electricity
"Urgent notice regarding transformer failure which is causing a lot of trouble. Specifically, the transformer failure near the main square is getting worse. Fire attention is needed.",Electricity
"I want to report no supply the whole neighborhood is complaining. Specifically, the no supply near the main square is getting worse. Urgent attention is needed.",Water
"I want to report cracked pavement which is causing a lot of trouble. Specifically, the cracked pavement near the main square is getting worse. Life-threatening attention is needed.",Roads
"Continuous issue with pipe burst this is a major safety risk. Specifically, the pipe burst near the main square is getting worse. Hazard attention is needed.",Water
"Continuous issue with power cut and it has been like this for days. Specifically, the power cut near the main square is getting worse. Immediate attention is needed.",Electricity
Please fix the low pressure,Water
"Continuous issue with clinic closed and it has been like this for days. Specifically, the clinic closed near the main square is getting worse. Life-threatening attention is needed.",Health
"I want to report transformer failure this is a major safety risk. Specifically, the transformer failure near the main square is getting worse. Danger attention is needed.",Electricity
"Urgent notice regarding outbreak risk and it has been like this for days. Specifically, the outbreak risk near the main square is getting worse. Immediate attention is needed.",Health
I want to report no supply,Water
"I want to report contaminated and it has been like this for days. Specifically, the contaminated near the main square is getting worse. Hazard attention is needed.",Water
"Urgent notice regarding dim lights which is causing a lot of trouble. Specifically, the dim lights near the main square is getting worse. Fire attention is needed.",Electricity
"Please fix the pothole which is causing a lot of trouble. Specifically, the pothole near the main square is getting worse. Emergency attention is needed.",Roads
"There is a overflowing bin and it has been like this for days. Specifically, the overflowing bin near the main square is getting worse. Danger attention is needed.",Sanitation
"Continuous issue with street light out the whole neighborhood is complaining. Specifically, the street light out near the main square is getting worse. Immediate attention is needed.",Roads
"Urgent notice regarding stray dog menace and it has been like this for days. Specifically, the stray dog menace near the main square is getting worse. Hazard attention is needed.",Health
"Continuous issue with leak this is a major safety risk. Specifically, the leak near the main square is getting worse. Life-threatening attention is needed.",Water
"Please fix the traffic signal broken the whole neighborhood is complaining. Specifically, the traffic signal broken near the main square is getting worse. Fire attention is needed.",Roads
"There is a transformer failure which is causing a lot of trouble. Specifically, the transformer failure near the main square is getting worse. Life-threatening attention is needed.",Electricity
"I want to report garbage pile this is a major safety risk. Specifically, the garbage pile near the main square is getting worse. Life-threatening attention is needed.",Sanitation
"Continuous issue with stagnant water and it has been like this for days. Specifically, the stagnant water near the main square is getting worse. Hazard attention is needed.",Health
"Please fix the low pressure the whole neighborhood is complaining. Specifically, the low pressure near the main square is getting worse. Life-threatening attention is needed.",Water
"There is a sewage leak the whole neighborhood is complaining. Specifically, the sewage leak near the main square is getting worse. Urgent attention is needed.",Sanitation
"Continuous issue with transformer failure and it has been like this for days. Specifically, the transformer failure near the main square is getting worse. Urgent attention is needed.",Electricity
Continuous issue with flooded road,Roads
"Please fix the traffic signal broken which is causing a lot of trouble. Specifically, the traffic signal broken near the main square is getting worse. Urgent attention is needed.",Roads
"Please fix the low pressure the whole neighborhood is complaining. Specifically, the low pressure near the main square is getting worse. Danger attention is needed.",Water
"There is a traffic signal broken and it has been like this for days. Specifically, the traffic signal broken near the main square is getting worse. Immediate attention is needed.",Roads
"There is a low pressure this is a major safety risk. Specifically, the low pressure near the main square is getting worse. Life-threatening attention is needed.",Water
"Please fix the pipe burst and it has been like this for days. Specifically, the pipe burst near the main square is getting worse. Leak attention is needed.",Water
"I want to report street light out the whole neighborhood is complaining. Specifically, the street light out near the main square is getting worse. Danger attention is needed.",Roads
"Continuous issue with dim lights and it has been like this for days. Specifically, the dim lights near the main square is getting worse. Leak attention is needed.",Electricity
"Continuous issue with pothole which is causing a lot of trouble. Specifically, the pothole near the main square is getting worse. Fire attention is needed.",Roads
"Continuous issue with low pressure this is a major safety risk. Specifically, the low pressure near the main square is getting worse. Hazard attention is needed.",Water
"I want to report outbreak risk and it has been like this for days. Specifically, the outbreak risk near the main square is getting worse. Hazard attention is needed.",Health
"Urgent notice regarding no supply which is causing a lot of trouble. Specifically, the no supply near the main square is getting worse. Life-threatening attention is needed.",Water
"There is a bad smell and it has been like this for days. Specifically, the bad smell near the main square is getting worse. Urgent attention is needed.",Sanitation
"There is a leak the whole neighborhood is complaining. Specifically, the leak near the main square is getting worse. Hazard attention is needed.",Water
Please fix the stray dog menace,Health
"I want to report stagnant water the whole neighborhood is complaining. Specifically, the stagnant water near the main square is getting worse. Immediate attention is needed.",Health
I want to report transformer failure,Electricity
"Urgent notice regarding contaminated the whole neighborhood is complaining. Specifically, the contaminated near the main square is getting worse. Leak attention is needed.",Water
"Please fix the low pressure which is causing a lot of trouble. Specifically, the low pressure near the main square is getting worse. Life-threatening attention is needed.",Water
"Urgent notice regarding pipe burst the whole neighborhood is complaining. Specifically, the pipe burst near the main square is getting worse. Immediate attention is needed.",Water
"I want to report no supply the whole neighborhood is complaining. Specifically, the no supply near the main square is getting worse. Hazard attention is needed.",Water
"Urgent notice regarding bad smell which is causing a lot of trouble. Specifically, the bad smell near the main square is getting worse. Emergency attention is needed.",Sanitation
"Continuous issue with downed line and it has been like this for days. Specifically, the downed line near the main square is getting worse. Fire attention is needed.",Electricity
I want to report pothole,Roads
"I want to report flooded road the whole neighborhood is complaining. Specifically, the flooded road near the main square is getting worse. Urgent attention is needed.",Roads
"I want to report stagnant water this is a major safety risk. Specifically, the stagnant water near the main square is getting worse. Leak attention is needed.",Health
"I want to report uncollected waste the whole neighborhood is complaining. Specifically, the uncollected waste near the main square is getting worse. Life-threatening attention is needed.",Sanitation
"There is a dim lights which is causing a lot of trouble. Specifically, the dim lights near the main square is getting worse. Life-threatening attention is needed.",Electricity
"Continuous issue with sewage leak and it has been like this for days. Specifically, the sewage leak near the main square is getting worse. Urgent attention is needed.",Sanitation
"There is a flooded road and it has been like this for days. Specifically, the flooded road near the main square is getting worse. Life-threatening attention is needed.",Roads
"Continuous issue with transformer failure this is a major safety risk. Specifically, the transformer failure near the main square is getting worse. Hazard attention is needed.",Electricity
"Urgent notice regarding pothole this is a major safety risk. Specifically, the pothole near the main square is getting worse. Emergency attention is needed.",Roads
"There is a clinic closed which is causing a lot of trouble. Specifically, the clinic closed near the main square is getting worse. Fire attention is needed.",Health
"I want to report pothole this is a major safety risk. Specifically, the pothole near the main square is getting worse. Immediate attention is needed.",Roads
"There is a transformer failure this is a major safety risk. Specifically, the transformer failure near the main square is getting worse. Fire attention is needed.",Electricity
"I want to report flooded road which is causing a lot of trouble. Specifically, the flooded road near the main square is getting worse. Leak attention is needed.",Roads
"Continuous issue with leak the whole neighborhood is complaining. Specifically, the leak near the main square is getting worse. Fire attention is needed.",Water
"I want to report cracked pavement this is a major safety risk. Specifically, the cracked pavement near the main square is getting worse. Danger attention is needed.",Roads
"Continuous issue with clinic closed which is causing a lot of trouble. Specifically, the clinic closed near the main square is getting worse. Immediate attention is needed.",Health
"There is a power cut and it has been like this for days. Specifically, the power cut near the main square is getting worse. Emergency attention is needed.",Electricity
"Continuous issue with no supply and it has been like this for days. Specifically, the no supply near the main square is getting worse. Leak attention is needed.",Water
"I want to report pothole the whole neighborhood is complaining. Specifically, the pothole near the main square is getting worse. Urgent attention is needed.",Roads
"Continuous issue with downed line which is causing a lot of trouble. Specifically, the downed line near the main square is getting worse. Fire attention is needed.",Electricity
"Continuous issue with cracked pavement and it has been like this for days. Specifically, the cracked pavement near the main square is getting worse. Emergency attention is needed.",Roads
"There is a stagnant water which is causing a lot of trouble. Specifically, the stagnant water near the main square is getting worse. Hazard attention is needed.",Health
"I want to report leak this is a major safety risk. Specifically, the leak near the main square is getting worse. Fire attention is needed.",Water
"There is a leak which is causing a lot of trouble. Specifically, the leak near the main square is getting worse. Emergency attention is needed.",Water
"Urgent notice regarding downed line which is causing a lot of trouble. Specifically, the downed line near the main square is getting worse. Life-threatening attention is needed.",Electricity
"There is a contaminated this is a major safety risk. Specifically, the contaminated near the main square is getting worse. Danger attention is needed.",Water
"Continuous issue with no supply and it has been like this for days. Specifically, the no supply near the main square is getting worse. Emergency attention is needed.",Water
"Continuous issue with flooded road this is a major safety risk. Specifically, the flooded road near the main square is getting worse. Immediate attention is needed.",Roads
"Continuous issue with sparking wire and it has been like this for days. Specifically, the sparking wire near the main square is getting worse. Fire attention is needed.",Electricity
"There is a sparking wire which is causing a lot of trouble. Specifically, the sparking wire near the main square is getting worse. Life-threatening attention is needed.",Electricity
"Continuous issue with street light out and it has been like this for days. Specifically, the street light out near the main square is getting worse. Urgent attention is needed.",Roads
"I want to report power cut and it has been like this for days. Specifically, the power cut near the main square is getting worse. Emergency attention is needed.",Electricity
"There is a leak which is causing a lot of trouble. Specifically, the leak near the main square is getting worse. Fire attention is needed.",Water
"There is a leak and it has been like this for days. Specifically, the leak near the main square is getting worse. Immediate attention is needed.",Water
"Please fix the stray dog menace and it has been like this for days. Specifically, the stray dog menace near the main square is getting worse. Hazard attention is needed.",Health
"There is a garbage pile this is a major safety risk. Specifically, the garbage pile near the main square is getting worse. Emergency attention is needed.",Sanitation
"Continuous issue with stagnant water and it has been like this for days. Specifically, the stagnant water near the main square is getting worse. Immediate attention is needed.",Health
"There is a cracked pavement and it has been like this for days. Specifically, the cracked pavement near the main square is getting worse. Emergency attention is needed.",Roads
"Urgent notice regarding mosquito breeding the whole neighborhood is complaining. Specifically, the mosquito breeding near the main square is getting worse. Immediate attention is needed.",Health
"Please fix the transformer failure which is causing a lot of trouble. Specifically, the transformer failure near the main square is getting worse. Urgent attention is needed.",Electricity
"I want to report clinic closed which is causing a lot of trouble. Specifically, the clinic closed near the main square is getting worse. Urgent attention is needed.",Health
"Urgent notice regarding uncollected waste which is causing a lot of trouble. Specifically, the uncollected waste near the main square is getting worse. Urgent attention is needed.",Sanitation
"Continuous issue with sewage leak which is causing a lot of trouble. Specifically, the sewage leak near the main square is getting worse. Danger attention is needed.",Sanitation
"Urgent notice regarding sewage leak the whole neighborhood is complaining. Specifically, the sewage leak near the main square is getting worse. Emergency attention is needed.",Sanitation
"Continuous issue with leak which is causing a lot of trouble. Specifically, the leak near the main square is getting worse. Life-threatening attention is needed.",Water
"Continuous issue with clinic closed this is a major safety risk. Specifically, the clinic closed near the main square is getting worse. Life-threatening attention is needed.",Health
"Please fix the pothole which is causing a lot of trouble. Specifically, the pothole near the main square is getting worse. Life-threatening attention is needed.",Roads
"Urgent notice regarding stagnant water which is causing a lot of trouble. Specifically, the stagnant water near the main square is getting worse. Fire attention is needed.",Health
"Continuous issue with uncollected waste this is a major safety risk. Specifically, the uncollected waste near the main square is getting worse. Immediate attention is needed.",Sanitation
"Continuous issue with dirty water this is a major safety risk. Specifically, the dirty water near the main square is getting worse. Life-threatening attention is needed.",Water
"Urgent notice regarding transformer failure this is a major safety risk. Specifically, the transformer failure near the main square is getting worse. Fire attention is needed.",Electricity
